name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
President Biden,POTUS,'1349149096909668363',false,2021-01-12 19:37:08,"46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU Text me: (302) 404-0880",8709,34831306,5,18,,3357,https://pbs.twimg.com/profile_banners/1349149096909668363/1712150452,https://www.twitter.com/POTUS,https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,false,true
The White House,WhiteHouse,'1323730225067339784',false,2020-11-03 15:55:58,Welcome to the Biden-Harris White House! Tweets may be archived: https://t.co/UbZQo0sWVf,9207,8840784,6,44,United States of America,3793,https://pbs.twimg.com/profile_banners/1323730225067339784/1712157667,https://www.twitter.com/WhiteHouse,https://pbs.twimg.com/profile_images/1351938473142448133/JQT93Cjo_normal.jpg,false,true
Pete Buttigieg,PeteButtigieg,'226222147',false,2010-12-13 11:49:04,"Personal account. For official updates, follow @SecretaryPete. Husband, father, veteran, writer, South Bend’s former Mayor Pete. (he/him)",13299,3697457,2803,1842,"Traverse City, MI",2569,https://pbs.twimg.com/profile_banners/226222147/1612363715,https://www.twitter.com/PeteButtigieg,https://pbs.twimg.com/profile_images/1296843982740361217/EaG1ATqj_normal.jpg,false,true
Doug Emhoff,DouglasEmhoff,'260759782',false,2011-03-04 09:56:34,Devoted dad. Proud husband to @KamalaHarris. Advocate for justice and equality. Official account is @SecondGentleman.,4306,986251,895,621,,839,https://pbs.twimg.com/profile_banners/260759782/1682419158,https://www.twitter.com/DouglasEmhoff,https://pbs.twimg.com/profile_images/1356257880517844994/1hNgzDBm_normal.jpg,false,true
DNC War Room,DNCWarRoom,'4486093643',true,2015-12-14 18:34:33,Rapid response for @TheDemocrats.,14517,94535,100,122,"Washington, D.C.",4960,https://pbs.twimg.com/profile_banners/4486093643/1698420639,https://www.twitter.com/DNCWarRoom,https://pbs.twimg.com/profile_images/1717926786263113728/aNHsKZqk_normal.png,false,false
chrissy teigen,chrissyteigen,'39364684',false,2009-05-11 18:50:04,de-motivational speaker,15941,12511229,4646,35868,couch,2210,https://pbs.twimg.com/profile_banners/39364684/1607474821,https://www.twitter.com/chrissyteigen,https://pbs.twimg.com/profile_images/1243351734757425152/e8JZwf03_normal.jpg,false,true
Dr. Miguel A. Cardona,teachcardona,'763766437',false,2012-08-17 09:56:53,"Husband, Father of 2, Secretary of Education, follow official account @SecCardona",603,74264,295,1948,,182,https://pbs.twimg.com/profile_banners/763766437/1608860180,https://www.twitter.com/teachcardona,https://pbs.twimg.com/profile_images/1205529274754703362/wa_k1af9_normal.jpg,false,false
Alejandro Mayorkas,AliMayorkas,'1330873099424854017',false,2020-11-23 08:57:45,"Former DHS Deputy Secretary, Dad, Husband, Immigrant, Fortunate | Secretary of Homeland Security Nominee for @JoeBiden",11,173528,10,0,United States,2,https://pbs.twimg.com/profile_banners/1330873099424854017/1606153745,https://www.twitter.com/AliMayorkas,https://pbs.twimg.com/profile_images/1330930121331650562/Gaoy_0LD_normal.jpg,false,true
Antony Blinken,ABlinken,'635716830',false,2012-07-14 16:29:35,My personal account. For our work at the State Department please follow @SecBlinken.,2070,406820,915,1781,"Washington, DC",307,https://pbs.twimg.com/profile_banners/635716830/1442934446,https://www.twitter.com/ABlinken,https://pbs.twimg.com/profile_images/646067499943989248/oqBSDthR_normal.jpg,false,false
Secretary Janet Yellen,SecYellen,'1333171793201225728',false,2020-11-29 17:12:26,78th Secretary of the Treasury. Former Fed Chair. Always an economist.,1232,386839,79,2,,418,https://pbs.twimg.com/profile_banners/1333171793201225728/1653500820,https://www.twitter.com/SecYellen,https://pbs.twimg.com/profile_images/1333421043772375043/N3Z22RJ1_normal.jpg,false,false
